up
Upload #23
Reader: Backpack reader 2  Site: AA
--------- upload 23 start ---------
E 2015-11-17 15:26:14.63 upload 22 complete
E 2015-11-18 09:01:17.69 supply power ok 19.0V
E 2015-11-18 09:01:17.69 database file opened
E 2015-11-18 09:01:17.69 starting reader after power up
D 2015-11-18 09:40:32.15 00:00:00.51 HA      900_226000569824    6   187
D 2015-11-18 09:40:51.36 00:00:00.41 HA      900_226000539976    5   183
D 2015-11-18 09:40:53.10 00:00:00.82 HA      900_226000539976    9    12
D 2015-11-18 09:41:10.63 00:00:00.00 HA      900_226000539749    1   163
D 2015-11-18 09:41:12.27 00:00:00.10 HA      900_226000539749    2    15
D 2015-11-18 09:41:13.08 00:00:00.00 HA      900_226000539749    1     6
D 2015-11-18 09:41:23.24 00:00:00.10 HA      900_226000119291    2    99
D 2015-11-18 09:41:23.85 00:00:01.74 HA      900_226000119291   18     4
D 2015-11-18 09:41:38.09 00:00:00.40 HA      900_226000091387    5   122
D 2015-11-18 09:41:38.11 00:00:01.51 HA      900_226000091387    6     5
D 2015-11-18 09:42:03.70 00:00:00.00 HA      900_226000539734    1   236
D 2015-11-18 09:42:04.82 00:00:00.93 HA      900_226000539734   10    10
D 2015-11-18 09:42:21.69 00:00:00.21 HA      900_226000094885    3   156
D 2015-11-18 09:42:22.51 00:00:00.21 HA      900_226000094885    3     5
D 2015-11-18 09:42:22.23 00:00:00.21 HA      900_226000094885    3     4
D 2015-11-18 09:42:23.84 00:00:00.62 HA      900_226000094885    7     3
D 2015-11-18 09:42:26.80 00:00:01.43 HA      900_226000094885   15    22
D 2015-11-18 09:42:30.48 00:00:00.91 HA      900_226000094885   10    21
D 2015-11-18 09:42:59.23 00:00:01.03 HA      900_226000094885   11   273
D 2015-11-18 09:43:04.93 00:00:00.10 HA      900_226000533761    2    45
D 2015-11-18 09:43:05.34 00:00:00.10 HA      900_226000533761    2     2
D 2015-11-18 09:43:06.87 00:00:00.00 HA      900_226000533761    1    13
D 2015-11-18 09:43:06.08 00:00:02.61 HA      900_226000533761    7     1
D 2015-11-18 09:43:30.65 00:00:00.20 HA      900_226000539976    3   225
D 2015-11-18 09:43:45.24 00:00:00.20 HA      900_226000086153    3   141
D 2015-11-18 09:43:55.61 00:00:00.61 HA      900_226000086153    7   100
D 2015-11-18 09:44:13.44 00:00:00.20 HA      900_226000533322    3   170
D 2015-11-18 09:44:15.15 00:00:00.70 HA      900_226000533322    8    14
D 2015-11-18 09:44:40.38 00:00:00.50 HA      900_226000095240    6   242
D 2015-11-18 09:44:42.59 23:59:59.60 HA      900_226000095240    7     6
D 2015-11-18 09:45:00.14 00:00:00.51 HA      900_226000117720    6   177
D 2015-11-18 09:45:01.85 00:00:01.00 HA      900_226000117720   11    11
D 2015-11-18 09:45:26.92 00:00:00.00 HA      900_226000086988    1   237
D 2015-11-18 09:45:28.25 00:00:00.00 HA      900_226000086988    1    12
D 2015-11-18 09:46:37.77 00:00:00.00 HA      900_226000539976    1   683
D 2015-11-18 09:46:39.40 00:00:00.20 HA      900_226000539976    3    15
D 2015-11-18 09:46:39.22 00:00:01.41 HA      900_226000539976    5     5
D 2015-11-18 09:46:53.52 00:00:00.10 HA      900_226000538410    2   126
D 2015-11-18 09:46:59.32 00:00:00.00 HA      900_226000538410    1    55
D 2015-11-18 09:46:59.52 00:00:00.00 HA      900_226000538410    1     1
D 2015-11-18 09:47:06.74 00:00:01.23 HA      900_226000538410   13    70
D 2015-11-18 09:48:19.59 00:00:00.00 HA      900_226000533469    1   704
D 2015-11-18 09:48:19.01 00:00:00.20 HA      900_226000533469    3     3
D 2015-11-18 09:48:45.51 00:00:00.20 HA      900_226000538634    3   248
D 2015-11-18 09:48:48.05 00:00:00.21 HA      900_226000538634    3    22
D 2015-11-18 09:48:52.22 00:00:00.30 HA      900_226000538634    4    38
D 2015-11-18 09:49:14.26 00:00:00.00 HA      900_226000081149    1   213
D 2015-11-18 09:49:14.67 00:00:00.00 HA      900_226000081149    1     3
D 2015-11-18 09:49:16.11 00:00:00.00 HA      900_226000081149    1    13
D 2015-11-18 09:49:16.82 00:00:00.00 HA      900_226000081149    1     6
D 2015-11-18 09:49:16.23 00:00:00.10 HA      900_226000081149    2     3
D 2015-11-18 09:49:18.53 00:00:00.00 HA      900_226000081149    1     1
D 2015-11-18 09:49:18.05 00:00:01.84 HA      900_226000081149   19     4
D 2015-11-18 09:49:22.13 00:00:00.00 HA      900_226000081149    1    21
D 2015-11-18 09:49:22.34 00:00:00.81 HA      900_226000081149    9     1
D 2015-11-18 09:49:30.57 00:00:00.82 HA      900_226000081149    9    72
D 2015-11-18 09:49:31.70 00:00:00.00 HA      900_226000081149    1     2
D 2015-11-18 09:50:12.34 00:00:00.51 HA      900_226000084758    6   399
D 2015-11-18 09:50:14.65 00:00:00.00 HA      900_226000084758    1     7
D 2015-11-18 09:50:38.89 00:00:00.00 HA      900_226000084758    1   247
D 2015-11-18 09:51:00.94 00:00:00.22 HA      900_226000587490    3   216
D 2015-11-18 09:51:02.38 00:00:00.91 HA      900_226000587490   10    11
D 2015-11-18 09:51:20.07 00:00:00.00 HA      900_226000587490    1   164
D 2015-11-18 09:51:20.27 00:00:00.00 HA      900_226000587490    1     1
D 2015-11-18 09:51:34.59 00:00:00.20 HA      900_226000587490    3   140
D 2015-11-18 09:51:41.20 00:00:00.41 HA      900_226000538569    5    62
D 2015-11-18 09:51:44.15 00:00:04.00 HA      900_226000538569   40    24
D 2015-11-18 09:51:55.37 00:00:00.72 HA      900_226000538569    8    70
D 2015-11-18 09:51:58.33 00:00:00.00 HA      900_226000538569    1    21
D 2015-11-18 09:51:58.64 00:00:00.00 HA      900_226000538569    1     2
D 2015-11-18 09:52:03.01 00:00:00.61 HA      900_226000569447    7    42
D 2015-11-18 09:52:03.92 00:00:00.00 HA      900_226000569447    1     2
D 2015-11-18 09:52:08.91 00:00:00.00 HA      900_226000569447    1    48
D 2015-11-18 09:52:09.11 00:00:00.72 HA      900_226000569447    8     1
D 2015-11-18 09:52:23.66 00:00:01.22 HA      900_226000587087   13   135
D 2015-11-18 09:52:28.65 00:00:00.41 HA      900_226000587087    5    36
D 2015-11-18 09:52:29.27 00:00:00.40 HA      900_226000587087    5     1
D 2015-11-18 09:52:31.20 00:00:00.83 HA      900_226000587087    9    14
D 2015-11-18 09:52:39.55 00:00:00.81 HA      900_226000587087    9    73
D 2015-11-18 09:52:40.77 00:00:00.10 HA      900_226000587087    2     3
D 2015-11-18 09:52:41.18 00:00:00.00 HA      900_226000587087    1     2
D 2015-11-18 09:53:02.01 00:00:00.20 HA      900_226000569447    3   204
D 2015-11-18 09:53:02.41 00:00:00.00 HA      900_226000569447    1     1
D 2015-11-18 09:53:53.32 00:00:00.00 HA      900_226000569591    1   500
D 2015-11-18 09:53:54.64 00:00:00.92 HA      900_226000569591   10    12
D 2015-11-18 09:53:58.00 00:00:01.95 HA      900_226000569591   20    23
D 2015-11-18 09:54:03.21 00:00:00.51 HA      900_226000569591    6    31
D 2015-11-18 09:54:05.35 00:00:00.93 HA      900_226000569591   10    15
D 2015-11-18 09:56:37.16 00:00:00.00 HA      900_226000588160    1  1484
D 2015-11-18 09:56:37.67 00:00:00.10 HA      900_226000588160    2     4
D 2015-11-18 09:56:37.97 23:59:59.11 HA      900_226000588160    2     1
D 2015-11-18 09:56:37.39 00:00:02.23 HA      900_226000588160   13     2
D 2015-11-18 09:56:39.82 23:59:59.21 HA      900_226000588160    3     1
D 2015-11-18 09:56:41.35 00:00:01.23 HA      900_226000588160   13    12
D 2015-11-18 09:56:52.76 00:00:00.10 HA      900_226000588160    2    99
D 2015-11-18 09:57:19.49 00:00:01.23 HA      900_226000647043   13   261
D 2015-11-18 09:57:22.35 00:00:00.92 HA      900_226000647043   10    15
D 2015-11-18 09:57:24.59 00:00:00.82 HA      900_226000647043    9    12
D 2015-11-18 10:01:07.21 00:00:00.20 HA      900_226000533043    3  2189
D 2015-11-18 10:01:07.81 00:00:00.81 HA      900_226000533043    9     3
D 2015-11-18 10:01:09.32 00:00:02.32 HA      900_226000533043   24     6
D 2015-11-18 10:01:11.25 00:00:01.40 HA      900_226000533043    5     5
D 2015-11-18 10:01:31.59 00:00:00.61 HA      900_226000533043    7   187
D 2015-11-18 10:01:33.01 00:00:00.90 HA      900_226000533043   10     7
D 2015-11-18 10:01:34.12 00:00:00.00 HA      900_226000533043    1     1
D 2015-11-18 10:01:36.04 00:00:00.90 HA      900_226000532336   10    18
D 2015-11-18 10:01:39.35 00:00:00.00 HA      900_226000532336    1    23
D 2015-11-18 10:01:44.40 00:00:00.81 HA      900_226000532336    9    49
D 2015-11-18 10:01:55.18 00:00:00.70 HR 0000_0000000178692567    8    98
D 2015-11-18 10:02:11.29 00:00:00.00 HR 0000_0000000178692567    1   152
D 2015-11-18 10:02:30.59 00:00:00.91 HR 0000_0000000178692567   10   190
D 2015-11-18 10:02:31.70 00:00:05.66 HR 0000_0000000178692567   57     1
D 2015-11-18 10:03:35.48 00:00:00.10 HA      900_226000533262    2   576
D 2015-11-18 10:03:36.69 00:00:02.82 HA      900_226000533262   29    10
D 2015-11-18 10:08:56.28 00:00:00.70 HA      900_226000102056    8  3132
D 2015-11-18 10:08:57.78 00:00:00.00 HA      900_226000102056    1     7
D 2015-11-18 10:08:57.98 23:59:59.21 HA      900_226000102056    3     1
D 2015-11-18 10:09:00.92 00:00:00.00 HA      900_226000102056    1    26
D 2015-11-18 10:09:01.11 00:00:00.20 HA      900_226000102056    3     1
D 2015-11-18 10:09:01.60 23:59:59.41 HA      900_226000568401    5     2
D 2015-11-18 10:09:03.82 00:00:01.32 HA      900_226000568401   14    17
D 2015-11-18 10:09:05.75 00:00:00.00 HA      900_226000102056    1     5
D 2015-11-18 10:09:05.24 00:00:02.11 HA      900_226000102056   12     4
D 2015-11-18 10:09:20.45 00:00:00.10 HA      900_226000568401    2   129
D 2015-11-18 10:09:20.85 00:00:01.01 HA      900_226000568401   11     2
D 2015-11-18 10:09:40.71 00:00:00.70 HA      900_226000648102    8   186
D 2015-11-18 10:09:41.61 00:00:00.90 HA      900_226000648102   10     1
D 2015-11-18 10:09:42.71 00:00:01.21 HA      900_226000648102   13     1
D 2015-11-18 10:10:51.22 00:00:00.40 HA      900_226000538180    5   667
