FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,0,1,683382 d,0,0,0,,0,1102,0, ,568808.730537000000000,4100274.308869999800000
,0,1,0,567560 d,0,0,0,,0,1104,0, ,568815.894900999960000,4100286.386130000000000
,0,1,0,568865 d,0,0,0,,0,1105,0, ,568816.963950000000000,4100282.511779999800000
,0,0,1,648602 d,0,0,0,,0,1105,0, ,568817.874260999960000,4100279.930480000100000
,0,1,0,541299 d,0,0,0,,0,1106,0, ,568820.501365000030000,4100284.944360000100000
,0,0,1,569097 d,0,0,0,,0,1107,0, ,568812.632839999980000,4100286.544489999800000
,0,1,1,568587 d,0,0,0,,0,1108,0, ,568811.261360000000000,4100291.156000000000000
,1,1,0,537644 kickfail,0,0,0,,0,1110,0, ,568820.400545999990000,4100297.332310000000000
,0,1,1,587480 d,0,0,0,,0,1112,0, ,568815.454043000010000,4100304.133620000000000
,0,1,0,568847 d,0,0,0,,0,1113,0, ,568819.222413999960000,4100296.398190000100000
,0,0,0,533552 d dry,0,0,0,,0,1115,0, ,568821.998460000030000,4100319.534169999900000
,0,0,1,569456 d dry,0,0,0,,0,1117,0, ,568813.127880000040000,4100334.994179999900000
,0,0,1,587916 d,0,0,0,,0,1118,0, ,568813.743275000020000,4100332.225579999900000
,0,0,1,092349 d dry,0,0,0,,0,1119,0, ,568812.198020000010000,4100339.979100000100000
,0,0,1,588151 d,0,0,0,,0,1121,0, ,568814.362434000010000,4100347.208089999900000
,0,0,1,539956 d,0,0,0,,0,1122,0, ,568813.491251999980000,4100344.982119999800000
,0,0,1,648678 d,0,0,0,,0,1124,0, ,568820.558499000040000,4100350.771749999800000
,0,0,1,088659 d,0,0,0,,0,1125,0, ,568816.116831999970000,4100350.180879999900000
,0,0,1,538109 d dry,0,0,0,,0,1136,0, ,568814.955256000040000,4100347.212919999800000
,0,1,0,588208 d,0,0,0,,0,1127,0, ,568821.494384999970000,4100345.047249999800000
,0,0,1,568899 d dry,0,0,0,,0,1128,0, ,568820.666080000000000,4100355.765120000100000
,0,1,0,688640 d,0,0,0,,0,1129,0, ,568822.494208000020000,4100349.678059999800000
,0,1,0,687596 d,0,0,0,,0,1130,0, ,568828.873092000020000,4100348.990350000100000
,0,0,1,119616 d,0,0,0,,0,1131,0, ,568821.838186000010000,4100357.438819999800000
,0,1,0,688968 d,0,0,0,,0,1131,0, ,568823.658792000030000,4100352.276240000000000
,0,0,1,532924 d,0,0,0,,0,1131,0, ,568817.932165000010000,4100363.878779999900000
,0,1,0,539806 d dry,0,0,0,,0,1134,0, ,568823.211897999980000,4100370.763309999800000
,0,1,1,081065 d,0,0,0,,0,1135,0, ,568809.166211999950000,4100384.701950000100000
,0,1,0,117868 d dry,0,0,0,,0,1135,0, ,568815.609767999970000,4100376.063750000200000
,0,1,0,587114 d dry,0,0,0,,0,1136,0, ,568825.772022000050000,4100365.791660000100000
,0,1,0,568303 d dry,0,0,0,,0,1137,0, ,568818.271452000020000,4100376.825040000000000
,0,1,0,081144 d dry,0,0,0,,0,1139,0, ,568815.165151000020000,4100376.060130000100000
,0,0,1,539911 d,0,0,0,,0,1139,0, ,568815.639103999940000,4100390.671649999900000
,0,1,0,094468 d dry,0,0,0,,0,1140,0, ,568817.154265000020000,4100386.616030000200000
,0,1,0,104935 d dry,0,0,0,,0,1141,0, ,568815.514972000030000,4100387.712129999900000
,0,0,1,540141 d,0,0,0,,0,1141,0, ,568825.107697000030000,4100392.782689999800000
,0,1,0,084743 d dry,0,0,0,,0,1143,0, ,568816.268040000000000,4100386.239000000100000
,0,1,0,094980 d dry,0,0,0,,0,1144,0, ,568825.732122999970000,4100388.904720000000000
,0,1,0,094677 d,0,0,0,,0,1148,0, ,568824.235749999990000,4100408.862509999900000
,0,1,0,567545 d,0,0,0,,0,1148,0, ,568825.443963999980000,4100406.098739999800000
,0,0,1,587771 d,0,0,0,,0,1148,0, ,568829.592200999960000,4100406.317410000100000
,0,1,0,681870 d,0,0,0,,0,1149,0, ,568824.842110999980000,4100407.203290000100000
,0,0,1,085054 d,0,0,0,,0,1149,0, ,568828.241798999950000,4100408.340400000100000
,0,1,0,080815 d,0,0,0,,0,1151,0, ,568832.376491999950000,4100410.223129999800000
,0,0,1,118434 d,0,0,0,,0,1151,0, ,568822.910933000040000,4100407.742290000000000
,0,1,0,080780 d,0,0,0,,0,1152,0, ,568822.762724000030000,4100407.741090000100000
,0,1,0,587016 d,0,0,0,,0,1152,0, ,568830.285065999950000,4100412.240079999900000
,0,0,1,538566 d,0,0,0,,0,1152,0, ,568829.805837000020000,4100416.489050000000000
,0,1,0,587006 d,0,0,0,,0,1153,0, ,568826.810135000040000,4100420.347709999900000
,0,0,1,538371 d,0,0,0,,0,1155,0, ,568826.679205999940000,4100436.433569999900000
,0,0,1,085319 d,0,0,0,,0,1156,0, ,568825.364927000020000,4100434.019080000000000
,0,1,0,541613 d,0,0,0,,0,1157,0, ,568828.881992000040000,4100420.734389999900000
,0,1,0,091843 d,0,0,0,,0,1157,0, ,568829.443208000040000,4100424.622010000100000
,0,1,0,691333 d,0,0,0,,0,1201,0, ,568825.048952999990000,4100436.420299999900000
,0,1,0,541043 d,0,0,0,,0,1203,0, ,568818.348146999950000,4100440.248809999800000
,0,1,0,533398 d,0,0,0,,0,1205,0, ,568825.422113999960000,4100426.993069999900000
,0,1,0,086358 d,0,0,0,,0,1206,0, ,568819.835471999950000,4100421.400390000100000
,0,1,0,648065 d,0,0,0,,0,1206,0, ,568819.138083999980000,4100416.032410000000000
,0,1,0,532658 d,0,0,0,,0,1208,0, ,568819.093683999960000,4100439.700160000000000
,0,1,0,113032 d,0,0,0,,0,1208,0, ,568818.597908000000000,4100445.982969999800000
,1,1,0,536272 kickfail,0,0,0,,0,1211,0, ,568822.759670000060000,4100444.537579999800000
,0,0,1,568965 d dry,0,0,0,,0,1246,0, ,568806.022359000050000,4100461.412829999800000
,0,1,0,538751 d,0,0,0,,0,1247,0, ,568806.023861999970000,4100461.227930000100000
,0,0,1,568251 d dry,0,0,0,,0,1247,0, ,568802.849891999970000,4100468.783299999800000
,0,0,1,094830 d dry,0,0,0,,0,1248,0, ,568802.914584000010000,4100460.832820000100000
,0,0,1,539665 d dry,0,0,0,,0,1249,0, ,568803.336629000030000,4100463.609860000200000
,0,1,0,532708 d,0,0,0,,0,1252,0, ,568785.577007999990000,4100478.627760000100000
,0,1,0,083360 d,0,0,0,,0,1256,0, ,568770.094633999980000,4100487.007559999800000
,0,0,1,533088 d,0,0,0,,0,1256,0, ,568763.805425000030000,4100494.907420000100000
,0,1,0,568829 d,0,0,0,,0,1257,0, ,568769.680101000010000,4100483.306040000200000
,0,0,1,094707 d,0,0,0,,0,1300,0, ,568750.379915000060000,4100505.522859999900000
,0,0,1,689964 d,0,0,0,,0,1302,0, ,568744.806195999960000,4100516.571969999900000
,0,1,0,569002 d,0,0,0,,0,1303,0, ,568747.307609000010000,4100518.811199999900000
,0,0,1,541319 d,0,0,0,,0,1302,0, ,568746.933653000040000,4100510.117519999900000
,0,1,0,538050 d,0,0,0,,0,1304,0, ,568747.081855000000000,4100510.118730000200000
,0,1,0,105125 d,0,0,0,,0,1304,0, ,568747.331662000040000,4100515.852880000100000
,0,0,1,538629 d,0,0,0,,0,1305,0, ,568745.288385999970000,4100511.953220000000000
,0,0,1,104568 d,0,0,0,,0,1306,0, ,568746.174599000020000,4100512.330240000000000
,0,0,1,569341 d,0,0,0,,0,1306,0, ,568743.831908000050000,4100508.797950000000000
,0,1,1,682679 d,0,0,0,,0,1307,0, ,568744.352568999980000,4100517.677730000100000
,0,0,1,682919 d,0,0,0,,0,1308,0, ,568744.804695999950000,4100516.756870000200000
,0,0,1,081137 d,0,0,0,,0,1309,0, ,568745.256821000020000,4100515.836010000200000
,0,1,0,532521 d,0,0,0,,0,1309,0, ,568749.080034999990000,4100519.565239999900000
,0,0,1,092223 d,0,0,0,,0,1310,0, ,568745.086068999950000,4100518.608229999900000
,0,1,0,085673 d,0,0,0,,0,1311,0, ,568747.871862999980000,4100522.329020000100000
,0,0,1,568244 d,0,0,0,,0,1311,0, ,568744.425615999960000,4100526.923680000000000
,0,0,1,587477 d,0,0,0,,0,1312,0, ,568736.611435999980000,4100521.867660000000000
,0,1,0,532864 d,0,0,0,,0,1313,0, ,568741.112536999980000,4100533.368489999800000
,0,1,0,117887 d,0,0,0,,0,1313,0, ,568744.989865000010000,4100530.441500000200000
,0,0,1,085526 d,0,0,0,,0,1314,0, ,568742.183027000050000,4100529.309239999900000
,0,0,1,085646 d,0,0,0,,0,1314,0, ,568737.543641000050000,4100534.818740000000000
,0,1,0,538795 d,0,0,0,,0,1315,0, ,568738.253095000050000,4100538.707549999900000
,0,0,1,685598 d,0,0,0,,0,1315,0, ,568735.003154000030000,4100537.386789999900000
,0,1,0,095187 d,0,0,0,,0,1316,0, ,568741.846033000040000,4100534.298990000000000
,0,0,1,094900 d,0,0,0,,0,1316,0, ,568739.184399000020000,4100533.537730000000000
,0,1,0,541696 d,0,0,0,,0,1317,0, ,568741.956661000030000,4100538.922569999900000
,0,0,1,686107 d,0,0,0,,0,1317,0, ,568736.633384000040000,4100537.400040000200000
,0,0,1,568313 d,0,0,0,,0,1318,0, ,568730.331297999950000,4100528.658179999800000
,0,0,1,645411 d,0,0,0,,0,1318,0, ,568729.900217000050000,4100526.990509999900000
,0,1,0,541696 d,0,0,0,,0,1319,0, ,568743.600420000030000,4100537.271770000000000
,0,0,1,532748 d,0,0,0,,0,1319,0, ,568735.407182000000000,4100542.382559999800000
,0,1,0,087171 d dry,0,0,0,,0,1320,0, ,568735.917924999960000,4100534.250800000000000
,0,0,1,113614 d,0,0,0,,0,1321,0, ,568734.872989999950000,4100535.166840000100000
,0,0,1,646192 d,0,0,0,,0,1322,0, ,568727.176956000040000,4100533.809940000100000
,0,1,0,533610 d dry,0,0,0,,0,1323,0, ,568741.955158000000000,4100539.107470000200000
,0,0,1,532647 d,0,0,0,,0,1323,0, ,568733.525632999950000,4100536.820059999800000
,0,1,0,091983 d dry,0,0,0,,0,1327,0, ,568721.370939000040000,4100555.211970000100000
,0,1,0,567620 d dry,0,0,0,,0,1328,0, ,568730.143432999960000,4100551.770039999900000
,0,0,1,692412 d,0,0,0,,0,1331,0, ,568727.266548000040000,4100541.022040000200000
,0,1,0,096652 d,0,0,0,,0,1332,0, ,568725.721407999980000,4100548.775580000100000
,0,0,1,531840 d,0,0,0,,0,1333,0, ,568720.978923000050000,4100548.737040000000000
,0,1,1,105034 d,0,0,0,,0,1333,0, ,568719.056793999970000,4100548.166699999900000
,0,1,0,588221 d dry,0,0,0,,0,1334,0, ,568725.842558000000000,4100552.104900000200000
,0,1,1,539705 d,0,0,0,,0,1334,0, ,568715.330694000000000,4100550.725120000100000
,0,1,0,569792 d dry,0,0,0,,0,1335,0, ,568725.465000999980000,4100562.086809999800000
,0,0,1,101998 d,0,0,0,,0,1336,0, ,568718.780871000020000,4100563.881560000100000
,0,1,0,568481 d dry,0,0,0,,0,1336,0, ,568719.095306999980000,4100561.665229999900000
,0,0,1,648692 d,0,0,0,,0,1336,0, ,568719.210452000030000,4100565.734120000200000
,0,1,0,531921 d dry,0,0,0,,0,1337,0, ,568722.180510999980000,4100565.018629999800000
,0,0,1,720377 d,0,0,0,,0,1338,0, ,568714.936628000000000,4100562.740869999900000
,0,1,0,083877 d dry,0,0,0,,0,1338,0, ,568716.809159999950000,4100569.412750000100000
,0,0,1,569459 d,0,0,0,,0,1339,0, ,568715.551420000030000,4100578.278070000000000
,0,1,1,084552 d,0,0,0,,0,1342,0, ,568725.396806000030000,4100588.712880000000000
,0,0,1,533084 d,0,0,0,,0,1342,0, ,568727.513712999990000,4100583.552689999800000
,0,1,0,692000 d,0,0,0,,0,1343,0, ,568726.538839000040000,4100594.084470000100000
,0,0,1,118608 d,0,0,0,,0,1343,0, ,568723.434115999960000,4100593.134699999800000
,0,1,0,539343 d,0,0,0,,0,1344,0, ,568722.113820999980000,4100591.459809999900000
,0,1,0,533749 d,0,0,0,,0,1345,0, ,568727.172222999970000,4100589.097130000100000
,0,0,1,541438 d,0,0,0,,0,1345,0, ,568725.501428000050000,4100594.076040000200000
,0,0,1,541668 d,0,0,0,,0,1346,0, ,568732.478935000020000,4100592.653500000000000
,0,0,1,539908 d,0,0,0,,0,1347,0, ,568731.568682000040000,4100595.234800000200000
,0,1,0,085690 d dry,0,0,0,,0,1347,0, ,568732.899489999980000,4100595.615439999800000
,0,0,1,083355 d,0,0,0,,0,1348,0, ,568737.622404000020000,4100598.057620000100000
,0,1,0,533998 d,0,0,0,,0,1348,0, ,568733.353112000040000,4100594.509680000100000
,0,0,1,532494 d,0,0,0,,0,1348,0, ,568734.073080000000000,4100597.104230000200000
,0,1,0,086419 d,0,0,0,,0,1349,0, ,568730.671956000030000,4100596.152050000100000
,0,0,1,102325 d,0,0,0,,0,1349,0, ,568734.213768000020000,4100598.029910000000000
,0,1,0,533130 d,0,0,0,,0,1350,0, ,568738.225739000020000,4100596.768170000100000
,0,0,1,589490 d,0,0,0,,0,1350,0, ,568738.197180000020000,4100600.281179999900000
,0,1,0,647352 d,0,0,0,,0,1351,0, ,568739.273669000020000,4100595.482350000200000
,0,1,0,538057 d,0,0,0,,0,1352,0, ,568742.962181000040000,4100597.546310000100000
,0,1,0,096419 d,0,0,0,,0,1353,0, ,568742.409957000050000,4100592.549329999800000
,0,1,0,538915 d,0,0,0,,0,1353,0, ,568742.387409999970000,4100595.322749999800000
,0,0,1,588671 d,0,0,0,,0,1354,0, ,568734.304856000000000,4100605.057120000000000
,0,0,1,568838 d,0,0,0,,0,1355,0, ,568737.291436000030000,4100602.307790000000000
