up
Upload #22
Reader: Backpack reader 2  Site: AA
--------- upload 22 start ---------
E 2015-11-02 15:04:08.64 upload 21 complete
E 2015-11-16 07:48:42.53 supply power ok 18.9V
E 2015-11-16 07:48:42.53 database file opened
E 2015-11-16 07:48:42.53 starting reader after power up
D 2015-11-16 11:05:19.42 00:00:00.51 HA      900_226000648602    6   179
D 2015-11-16 11:05:20.24 00:00:01.30 HA      900_226000648602   14     2
D 2015-11-16 11:05:37.40 00:00:00.40 HA      900_226000648602    5   156
D 2015-11-16 11:05:42.95 00:00:00.61 HA      900_226000648602    7    50
D 2015-11-16 11:05:45.67 00:00:01.01 HA      900_226000648602   11    20
D 2015-11-16 11:05:51.54 00:00:01.21 HA      900_226000648602   13    47
D 2015-11-16 11:06:05.52 00:00:00.00 HA      900_226000648602    1   126
D 2015-11-16 11:06:05.03 00:00:00.00 HA      900_226000648602    1     4
D 2015-11-16 11:06:06.43 00:00:02.53 HA      900_226000648602   26     3
D 2015-11-16 11:06:14.69 00:00:00.90 HA      900_226000648602   10    56
D 2015-11-16 11:06:38.97 00:00:00.11 HA      900_226000569097    2   231
D 2015-11-16 11:06:40.59 00:00:00.20 HA      900_226000569097    3    14
D 2015-11-16 11:06:42.70 00:00:00.42 HA      900_226000569097   15     8
D 2015-11-16 11:06:43.92 00:00:01.02 HA      900_226000569097   11     7
D 2015-11-16 11:06:45.25 00:00:00.10 HA      900_226000569097    2     2
D 2015-11-16 11:06:47.06 00:00:00.00 HA      900_226000569097    1    16
D 2015-11-16 11:06:47.26 00:00:00.81 HA      900_226000569097    9     1
D 2015-11-16 11:06:48.27 00:00:00.10 HA      900_226000569097    2     1
D 2015-11-16 11:07:27.34 00:00:00.30 HA      900_226000569097    4   386
D 2015-11-16 11:07:28.45 00:00:00.71 HA      900_226000569097    8     7
D 2015-11-16 11:07:56.96 00:00:00.11 HA      900_226000568587    2   275
D 2015-11-16 11:07:57.27 00:00:01.31 HA      900_226000568587   14     1
D 2015-11-16 11:07:58.88 00:00:00.51 HA      900_226000568587    6     2
D 2015-11-16 11:09:57.23 00:00:00.81 HA      900_226000587480    9  1169
D 2015-11-16 11:09:58.64 00:00:00.60 HA      900_226000587480    7     5
D 2015-11-16 11:10:01.95 00:00:01.00 HA      900_226000587480   11    26
D 2015-11-16 11:10:27.84 00:00:01.32 HA      900_226000587480   14   246
D 2015-11-16 11:10:38.12 00:00:01.11 HA      900_226000587480   12    88
D 2015-11-16 11:10:49.78 00:00:01.32 HA      900_226000587480   14   104
D 2015-11-16 11:10:51.50 00:00:00.70 HA      900_226000587480    8     3
D 2015-11-16 11:10:55.52 00:00:00.00 HA      900_226000587480    1    32
D 2015-11-16 11:12:15.34 00:00:01.50 HA      900_226000587480   16   792
D 2015-11-16 11:17:12.93 00:00:00.11 HA      900_226000569456    2  2940
D 2015-11-16 11:17:14.25 00:00:00.30 HA      900_226000569456    4    11
D 2015-11-16 11:17:15.75 00:00:00.81 HA      900_226000587916    9    11
D 2015-11-16 11:17:17.57 00:00:01.40 HA      900_226000569456   15     9
D 2015-11-16 11:17:20.28 00:00:00.20 HA      900_226000587916    3    12
D 2015-11-16 11:17:21.59 00:00:00.90 HA      900_226000569456   10    10
D 2015-11-16 11:17:24.41 00:00:02.01 HA      900_226000587916   21    18
D 2015-11-16 11:17:27.53 00:00:01.30 HA      900_226000569456   14    10
D 2015-11-16 11:17:55.10 00:00:00.80 HA      900_226000587916    9   260
D 2015-11-16 11:17:57.51 00:00:00.20 HA      900_226000587916    3    15
D 2015-11-16 11:17:57.91 23:59:59.11 HA      900_226000587916    2     1
D 2015-11-16 11:17:58.42 00:00:00.20 HA      900_226000587916    3     3
D 2015-11-16 11:18:16.53 00:00:00.20 HA      900_226000587916    3   177
D 2015-11-16 11:19:05.24 00:00:00.20 HA      900_226000092349    3   481
D 2015-11-16 11:19:05.94 00:00:00.21 HA      900_226000092349    3     4
D 2015-11-16 11:19:06.65 00:00:00.20 HA      900_226000092349    3     4
D 2015-11-16 11:19:06.25 00:00:00.00 HA      900_226000092349    1     3
D 2015-11-16 11:19:09.17 00:00:00.91 HA      900_226000092349   10    18
D 2015-11-16 11:19:10.48 00:00:00.00 HA      900_226000092349    1     3
D 2015-11-16 11:19:11.78 00:00:00.10 HA      900_226000092349    2    12
