up
upload #31 start: 11/02/2015 15:10:22.26
Site code: tes
--------- upload 31 start ---------
11/02/2015 15:10:22.26 upload 30 complete
11/16/2015 07:44:22.32 supply power ok 18.2V
11/16/2015 07:44:22.32 database file opened
11/16/2015 07:44:22.32 starting reader after power up
11/16/2015 11:16:26.50  00:00:01.12 A 900_226000533552   12     7
11/16/2015 11:19:29.16  00:00:00.00 A 900_226000569456    1  1803
11/16/2015 11:19:30.97  00:00:01.12 A 900_226000569456   12    17
11/16/2015 11:19:34.39  00:00:01.22 A 900_226000569456   13    22
11/16/2015 11:19:42.26  00:00:00.00 A 900_226000569456    1    65
11/16/2015 11:19:43.36  00:00:01.53 A 900_226000569456   16    10
11/16/2015 11:20:04.22  00:00:00.60 A 900_226000587916    7   190
11/16/2015 11:20:04.22  00:00:00.21 A 900_226000587916    3     3
11/16/2015 11:20:06.04  00:00:02.02 A 900_226000587916   21     5
11/16/2015 11:20:10.29  00:00:00.70 A 900_226000587916    8    21
11/16/2015 11:20:13.91  00:00:00.11 A 900_226000587916    2    28
11/16/2015 11:20:14.32  00:00:00.81 A 900_226000587916    9     2
11/16/2015 11:20:17.26  00:00:00.10 A 900_226000587916    2    20
11/16/2015 11:20:18.97  00:00:01.43 A 900_226000587916   15    15
11/16/2015 11:20:21.80  00:00:00.61 A 900_226000587916    7    13
11/16/2015 11:20:25.44  00:00:00.30 A 900_226000587916    4    29
11/16/2015 11:20:35.11  00:00:00.91 A 900_226000092349   10    92
11/16/2015 11:20:36.52  00:00:00.10 A 900_226000092349    2     4
11/16/2015 11:20:37.83  00:00:00.72 A 900_226000092349    8    11
11/16/2015 11:26:00.94  00:00:00.92 A 900_226000648678   10  3203
11/16/2015 11:26:05.60  00:00:01.01 A 900_226000648678   11    36
11/16/2015 11:26:18.38  00:00:01.53 A 900_226000648678   16   116
11/16/2015 11:26:48.90  00:00:02.13 A 900_226000588208   22   287
11/16/2015 11:26:52.64  00:00:01.02 A 900_226000588208   11    15
11/16/2015 11:26:58.90  00:00:02.23 A 900_226000588208   23    51
11/16/2015 11:27:03.25  00:00:02.43 A 900_226000588208   25    20
11/16/2015 11:27:19.97  00:00:01.01 A 900_226000588208   11   141
11/16/2015 11:27:30.95  00:00:00.11 A 900_226000588208    2    98
11/16/2015 11:29:06.16  00:00:00.10 A 900_226000688640    2   944
11/16/2015 11:29:06.66  00:00:00.61 A 900_226000688640    7     3
11/16/2015 11:29:07.68  00:00:01.62 A 900_226000688640   17     3
